"TargetModule","Coverage"
"cli","0.6666666666666666"
"utils","0.46153846153846156"
"asserts","0.9"
"umlclass","1.0"
"umlenum","1.0"
"umlitem","1.0"
"umlrelation","1.0"
"package","1.0"
"namespace","0.5945945945945946"
"puml","0.05263157894736842"
"inspectclass","1.0"
"inspectenum","0.75"
"inspectmodule","0.782608695652174"
"inspectnamedtuple","0.5"
"inspectpackage","0.8"
"astvisitors","0.13559322033898305"
"compoundtypesplitter","1.0"
"moduleresolver","0.9230769230769231"
"parseclassconstructor","0.7142857142857143"
"parseclassconstructor","0.7142857142857143"
"astvisitors","0.15254237288135594"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"utils","0.46153846153846156"
"compoundtypesplitter","0.8"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"utils","0.46153846153846156"
"astvisitors","0.15254237288135594"
"astvisitors","0.1864406779661017"
"astvisitors","0.1864406779661017"
"astvisitors","0.15254237288135594"
"asserts","0.9"
"cli","0.6666666666666666"
"compoundtypesplitter","1.0"
"inspectclass","0.85"
"inspectclass","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"compoundtypesplitter","0.9"
"compoundtypesplitter","0.95"
"compoundtypesplitter","1.0"
"inspectclass","0.75"
"inspectclass","0.65"
"inspectenum","0.75"
"inspectmodule","0.782608695652174"
"inspectmodule","0.782608695652174"
"inspectnamedtuple","0.5"
"inspectpackage","0.8"
"moduleresolver","0.6923076923076923"
"namespace","0.4594594594594595"
"namespace","0.7297297297297297"
"package","1.0"
"package","1.0"
"parseclassconstructor","0.7142857142857143"
"parseclassconstructor","0.7142857142857143"
"puml","0.05263157894736842"
"umlclass","1.0"
"umlenum","1.0"
"umlitem","1.0"
"umlitem","1.0"
"umlitem","1.0"
"umlrelation","1.0"
"utils","0.46153846153846156"
"asserts","0.9"
"asserts","0.8"
"asserts","0.9"
"astvisitors","0.15254237288135594"
"cli","0.6666666666666666"
"compoundtypesplitter","1.0"
"inspectclass","1.0"
"inspectenum","0.75"
"inspectmodule","0.9565217391304348"
"inspectnamedtuple","0.5"
"inspectpackage","0.8"
"moduleresolver","0.8846153846153846"
"namespace","0.5945945945945946"
"namespace","0.918918918918919"
"package","1.0"
"parseclassconstructor","0.7142857142857143"
"puml","0.5263157894736842"
"umlclass","1.0"
"umlenum","1.0"
"umlitem","1.0"
"umlrelation","1.0"
"utils","0.46153846153846156"
"asserts","0.9"
"astvisitors","0.1694915254237288"
"cli","0.6666666666666666"
"compoundtypesplitter","1.0"
"inspectclass","0.9"
"inspectenum","0.75"
"inspectmodule","0.9565217391304348"
"inspectnamedtuple","0.5"
"inspectpackage","0.8"
"moduleresolver","0.8461538461538461"
"namespace","0.918918918918919"
"inspectclass","0.85"
"inspectclass","0.7"
"inspectclass","0.8"
"inspectclass","0.65"
"inspectclass","0.7"
"inspectclass","0.55"
"inspectclass","1.0"
"inspectenum","0.75"
"inspectmodule","0.9130434782608695"
"inspectmodule","0.9130434782608695"
"inspectmodule","0.9130434782608695"
"inspectmodule","0.9130434782608695"
"inspectmodule","0.8260869565217391"
"inspectenum","0.75"
"puml","0.05263157894736842"
"puml","0.05263157894736842"
"puml","0.05263157894736842"
"puml","0.8947368421052632"
"compoundtypesplitter","1.0"
"compoundtypesplitter","1.0"
"inspectenum","0.75"
"inspectenum","0.75"
"inspectenum","0.75"
"inspectenum","0.75"
"inspectmodule","0.9130434782608695"
"moduleresolver","0.9230769230769231"
"utils","0.46153846153846156"
"utils","0.46153846153846156"
"utils","0.46153846153846156"
"utils","0.46153846153846156"
"utils","0.46153846153846156"
"inspectenum","0.75"
